dataset,include_max,assemble_time_k369
ACSF1,0,2.29242
ACSF1,1,2.4318400000000002
Adiac,0,1.8038699999999999
Adiac,1,1.8148199999999999
ArrowHead,0,0.74999
ArrowHead,1,0.76198
BME,0,0.44802
BME,1,0.46181
Beef,0,0.95235
Beef,1,0.96035
BeetleFly,0,0.8088200000000001
BeetleFly,1,0.8354100000000001
BirdChicken,0,0.66565
BirdChicken,1,0.67393
CBF,0,0.67852
CBF,1,0.71216
Car,0,1.29773
Car,1,1.27604
Chinatown,0,0.12303
Chinatown,1,0.13312
ChlorineConcentration,0,1.5823
ChlorineConcentration,1,1.7469100000000002
CinCECGTorso,0,6.763540000000001
CinCECGTorso,1,6.89632
Coffee,0,0.67858
Coffee,1,0.71906
Computers,0,1.5502799999999999
Computers,1,1.62425
CricketX,0,1.3249600000000001
CricketX,1,1.32969
CricketY,0,1.82345
CricketY,1,1.8577400000000002
CricketZ,0,1.37072
CricketZ,1,1.4078
Crop,0,4.4512599999999996
Crop,1,5.13165
DiatomSizeReduction,0,0.8367699999999999
DiatomSizeReduction,1,0.8489599999999999
DistalPhalanxOutlineAgeGroup,0,0.48149
DistalPhalanxOutlineAgeGroup,1,0.5055400000000001
DistalPhalanxOutlineCorrect,0,0.6960900000000001
DistalPhalanxOutlineCorrect,1,0.74
DistalPhalanxTW,0,0.61531
DistalPhalanxTW,1,0.62458
ECG200,0,0.51433
ECG200,1,0.51967
ECG5000,0,1.6964199999999998
ECG5000,1,1.82972
ECGFiveDays,0,0.70001
ECGFiveDays,1,0.7344
EOGHorizontalSignal,0,7.178490000000001
EOGHorizontalSignal,1,8.22352
EOGVerticalSignal,0,6.2224
EOGVerticalSignal,1,6.43803
Earthquakes,0,2.07072
Earthquakes,1,2.20807
ElectricDevices,0,4.6631100000000005
ElectricDevices,1,5.42605
EthanolLevel,0,6.2548200000000005
EthanolLevel,1,6.352790000000001
FaceAll,0,1.49762
FaceAll,1,1.3857599999999999
FaceFour,0,0.77091
FaceFour,1,0.80637
FacesUCR,0,1.15647
FacesUCR,1,1.1773500000000001
FiftyWords,0,2.11958
FiftyWords,1,2.1580500000000002
Fish,0,2.2111899999999998
Fish,1,2.3034399999999997
FordA,0,6.04516
FordA,1,6.16177
FordB,0,8.73585
FordB,1,8.91965
FreezerRegularTrain,0,1.6471399999999998
FreezerRegularTrain,1,1.82059
FreezerSmallTrain,0,1.65706
FreezerSmallTrain,1,1.82299
GunPoint,0,0.53599
GunPoint,1,0.5432
GunPointAgeSpan,0,0.64517
GunPointAgeSpan,1,0.66075
GunPointMaleVersusFemale,0,1.2620900000000002
GunPointMaleVersusFemale,1,1.28323
GunPointOldVersusYoung,0,0.6893
GunPointOldVersusYoung,1,0.8487399999999999
Ham,0,1.3204699999999998
Ham,1,1.32558
Haptics,0,3.11008
Haptics,1,3.04679
Herring,0,1.01454
Herring,1,0.96663
HouseTwenty,0,1.68568
HouseTwenty,1,1.72931
InlineSkate,0,3.9965400000000004
InlineSkate,1,4.04947
InsectEPGRegularTrain,0,0.90288
InsectEPGRegularTrain,1,0.9576
InsectEPGSmallTrain,0,0.9433400000000001
InsectEPGSmallTrain,1,0.95164
InsectWingbeatSound,0,2.2965600000000004
InsectWingbeatSound,1,2.4436299999999997
ItalyPowerDemand,0,0.22913999999999998
ItalyPowerDemand,1,0.24359000000000003
LargeKitchenAppliances,0,2.74466
LargeKitchenAppliances,1,2.74774
Lightning2,0,1.0147300000000001
Lightning2,1,1.07826
Lightning7,0,0.84145
Lightning7,1,0.90328
Mallat,0,5.38185
Mallat,1,5.55081
Meat,0,0.8228199999999999
Meat,1,0.81728
MedicalImages,0,0.93295
MedicalImages,1,1.0006599999999999
MiddlePhalanxOutlineAgeGroup,0,0.55323
MiddlePhalanxOutlineAgeGroup,1,0.6107899999999999
MiddlePhalanxOutlineCorrect,0,0.78201
MiddlePhalanxOutlineCorrect,1,0.90044
MiddlePhalanxTW,0,0.65652
MiddlePhalanxTW,1,0.6789
MixedShapesRegularTrain,0,6.24524
MixedShapesRegularTrain,1,6.22483
MixedShapesSmallTrain,0,4.72521
MixedShapesSmallTrain,1,4.86417
MoteStrain,0,0.50306
MoteStrain,1,0.53029
OSULeaf,0,0.88501
OSULeaf,1,0.91241
OliveOil,0,1.1063100000000001
OliveOil,1,1.13775
PhalangesOutlinesCorrect,0,1.18285
PhalangesOutlinesCorrect,1,1.32552
Phoneme,0,5.9723999999999995
Phoneme,1,6.13258
PigAirwayPressure,0,8.585370000000001
PigAirwayPressure,1,8.983369999999999
PigArtPressure,0,4.63181
PigArtPressure,1,4.7079
PigCVP,0,5.14837
PigCVP,1,5.21001
Plane,0,0.8517699999999999
Plane,1,0.85398
PowerCons,0,0.98573
PowerCons,1,0.98153
ProximalPhalanxOutlineAgeGroup,0,0.51939
ProximalPhalanxOutlineAgeGroup,1,0.56397
ProximalPhalanxOutlineCorrect,0,0.63061
ProximalPhalanxOutlineCorrect,1,0.72546
ProximalPhalanxTW,0,0.5582499999999999
ProximalPhalanxTW,1,0.59819
RefrigerationDevices,0,1.93944
RefrigerationDevices,1,2.0290399999999997
Rock,0,3.0349899999999996
Rock,1,3.1205100000000003
ScreenType,0,2.82183
ScreenType,1,2.5204
SemgHandGenderCh2,0,9.09653
SemgHandGenderCh2,1,9.40773
SemgHandMovementCh2,0,6.54027
SemgHandMovementCh2,1,6.6081
SemgHandSubjectCh2,0,14.92929
SemgHandSubjectCh2,1,15.012110000000002
ShapeletSim,0,0.6986100000000001
ShapeletSim,1,0.7003
ShapesAll,0,5.03412
ShapesAll,1,5.14811
SmallKitchenAppliances,0,2.6848300000000003
SmallKitchenAppliances,1,2.73215
SmoothSubspace,0,0.13568
SmoothSubspace,1,0.14767
SonyAIBORobotSurface1,0,0.37312
SonyAIBORobotSurface1,1,0.37892000000000003
SonyAIBORobotSurface2,0,0.43308
SonyAIBORobotSurface2,1,0.44938
StarLightCurves,0,31.1419
StarLightCurves,1,31.323410000000003
Strawberry,0,1.8813300000000002
Strawberry,1,1.89238
SwedishLeaf,0,1.08443
SwedishLeaf,1,1.14969
Symbols,0,1.4396900000000001
Symbols,1,1.51905
SyntheticControl,0,0.50202
SyntheticControl,1,0.53601
