dataset,Arsenal,DrCIF,HIVE-COTE 2.0,InceptionTime,MiniRocket,ResNet,STC,TDE,TS-CHIEF,MultiRocket,FAST
ACSF1,0.8053,0.7843,0.8333,0.8267,0.8223,0.824,0.8383,0.7977,0.807,0.8337,0.828
Adiac,0.7721,0.8096,0.7951,0.8223,0.8017,0.8154,0.7932,0.7516,0.7797,0.8231,0.8054
ArrowHead,0.8627,0.8253,0.8863,0.8804,0.881,0.8587,0.8067,0.9006,0.8811,0.8952,0.9046
BME,0.9976,0.9996,0.9996,0.9964,0.9922,0.9991,0.9298,0.9116,0.9964,1,1
Beef,0.7556,0.7911,0.7967,0.6822,0.7611,0.6767,0.7356,0.6833,0.6322,0.77,0.8067
BeetleFly,0.8867,0.8783,0.9033,0.8933,0.9067,0.8533,0.9333,0.9417,0.9583,0.8967,0.93
BirdChicken,0.8867,0.9483,0.9517,0.9517,0.9083,0.945,0.87,0.9717,0.9633,0.8883,0.91
CBF,0.996,0.9848,0.9979,0.9961,0.9962,0.9882,0.9853,0.9974,0.9984,0.9926,0.9979
Car,0.9156,0.8439,0.9078,0.9011,0.9211,0.9083,0.8583,0.87,0.8789,0.92,0.9417
Chinatown,0.9678,0.9799,0.9736,0.9649,0.969,0.9701,0.963,0.9555,0.9618,0.9667,0.9659
ChlorineConcentration,0.7803,0.7394,0.769,0.8636,0.7534,0.841,0.7352,0.6934,0.6608,0.7807,0.7559
CinCECGTorso,0.8657,0.994,0.9982,0.8328,0.8758,0.7679,0.9778,0.9833,0.9534,0.9496,0.9314
Coffee,1,0.9988,0.9988,0.9988,0.9988,0.9964,0.9893,0.9929,0.9905,1,1
Computers,0.8423,0.8167,0.8585,0.8656,0.7939,0.8604,0.7991,0.8181,0.7539,0.8508,0.8508
CricketX,0.8336,0.7727,0.8399,0.8532,0.8251,0.8081,0.7921,0.8143,0.8304,0.82,0.8226
CricketY,0.8415,0.7991,0.8504,0.86,0.8414,0.8102,0.7779,0.8033,0.817,0.8417,0.839
CricketZ,0.8523,0.7924,0.8595,0.8611,0.8425,0.8132,0.8072,0.8285,0.8382,0.8377,0.8269
Crop,0.7449,0.7773,0.7639,0.7932,0.7522,0.7638,0.7367,0.725,0.7621,0.7739,0.7548
DiatomSizeReduction,0.9593,0.9146,0.9223,0.9507,0.9428,0.3062,0.8593,0.884,0.9459,0.9522,0.9709
DistalPhalanxOutlineAgeGroup,0.8168,0.8216,0.8209,0.7657,0.8038,0.776,0.7962,0.7957,0.8281,0.8118,0.8065
DistalPhalanxOutlineCorrect,0.8232,0.8338,0.8284,0.8156,0.8214,0.8092,0.8273,0.7664,0.8193,0.8431,0.8453
DistalPhalanxTW,0.7002,0.6978,0.7017,0.6659,0.6959,0.6671,0.6899,0.6659,0.6918,0.7026,0.754
ECG200,0.8987,0.861,0.8887,0.8957,0.8993,0.8837,0.839,0.8473,0.855,0.8907,0.912
