model,avg_rank,top1_count,wins,draws,losses,wilcoxon_p_val,friedman_p
HIVE-COTE 2.0,4.505,16,44,6,58,0.054215,1.4796144389947634e-136
MultiRocket,6.097,22,50,10,48,0.958429,1.4796144389947634e-136
FAST,6.236,29,,,,,1.4796144389947634e-136
TS-CHIEF,7.921,15,61,4,43,0.036436,1.4796144389947634e-136
HIVE-COTEv1_0,8.093,12,63,4,41,0.057173,1.4796144389947634e-136
MiniRocket,8.444,5,77,3,28,3e-06,1.4796144389947634e-136
ROCKET,8.819,4,78,4,26,0,1.4796144389947634e-136
Arsenal,9.088,5,77,4,27,0,1.4796144389947634e-136
InceptionTime,9.347,18,67,3,38,0.031055,1.4796144389947634e-136
DrCIF,9.907,8,74,3,31,4e-06,1.4796144389947634e-136
TDE,11.468,8,80,2,26,0,1.4796144389947634e-136
ResNet,12.25,9,80,3,25,0,1.4796144389947634e-136
CIF,12.486,3,87,2,19,0,1.4796144389947634e-136
STC,12.657,2,85,1,22,0,1.4796144389947634e-136
ProximityForest,13.102,8,91,3,14,0,1.4796144389947634e-136
S-BOSS,13.648,4,88,2,18,0,1.4796144389947634e-136
WEASEL,13.648,3,92,1,15,0,1.4796144389947634e-136
BOSS,14.745,3,88,2,18,0,1.4796144389947634e-136
cBOSS,14.875,4,86,2,20,0,1.4796144389947634e-136
RISE,16.62,0,98,0,10,0,1.4796144389947634e-136
TSF,17.042,3,99,1,8,0,1.4796144389947634e-136
